"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 3鼻採樣點: 2輪候人數:50人等候時間:<U+2B24>10分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"50人","<U+2B24>10分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 3鼻採樣點: 2輪候人數:230人等候時間:<U+2B24>46分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"230人","<U+2B24>46分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 2鼻採樣點: 1輪候人數:85人等候時間:<U+2B24>28分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"85人","<U+2B24>28分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 3鼻採樣點: 1輪候人數:180人等候時間:<U+2B24>45分鐘類別: (B) 一般市民採樣站（需預約）",3,1,"180人","<U+2B24>45分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 2鼻採樣點: 2輪候人數:170人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"170人","<U+2B24>43分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 6鼻採樣點: 2輪候人數:368人等候時間:<U+2B24>46分鐘類別: (B) 一般市民採樣站（需預約）",6,2,"368人","<U+2B24>46分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 4鼻採樣點: 2輪候人數:40人等候時間:<U+2B24>7分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"40人","<U+2B24>7分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 4鼻採樣點: 3輪候人數:172人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"172人","<U+2B24>25分鐘","B","科大體育館"
"39","B32","綜藝館(免費)綜藝館(免費)口採樣點: 2鼻採樣點: 1輪候人數:300人等候時間:<U+2B24>100分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"300人","<U+2B24>100分鐘","B","綜藝館(免費)"
"40","C01","綜藝館(自費)綜藝館(自費)口採樣點: 1鼻採樣點: 1輪候人數:130人等候時間:<U+2B24>65分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"130人","<U+2B24>65分鐘","C","綜藝館(自費)"
"41","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 2鼻採樣點: 2輪候人數:42人等候時間:<U+2B24>11分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",2,2,"42人","<U+2B24>11分鐘","C","國檢（澳門）醫務中心"
"42","C03","南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:6人等候時間:<U+2B24>3分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"6人","<U+2B24>3分鐘","C","南粵橫琴口岸"
