"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"18","B11","勞校中學附屬幼稚園勞校中學附屬幼稚園口採樣點: 3鼻採樣點: 3輪候人數:160人等候時間:<U+2B24>27分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"160人","<U+2B24>27分鐘","B","勞校中學附屬幼稚園"
"19","B12","婦女聯合總會綜合服務大樓婦女聯合總會綜合服務大樓口採樣點: 2鼻採樣點: 2輪候人數:32人等候時間:<U+2B24>8分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"32人","<U+2B24>8分鐘","B","婦女聯合總會綜合服務大樓"
"20","B13","鏡湖醫院禮堂鏡湖醫院禮堂口採樣點: 3鼻採樣點: 3輪候人數:30人等候時間:<U+2B24>5分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"30人","<U+2B24>5分鐘","B","鏡湖醫院禮堂"
"21","B14","沙梨頭活動中心沙梨頭活動中心口採樣點: 3鼻採樣點: 4輪候人數:50人等候時間:<U+2B24>7分鐘類別: (B) 一般市民採樣站（需預約）",3,4,"50人","<U+2B24>7分鐘","B","沙梨頭活動中心"
"22","B15","培正中學培正中學口採樣點: 4鼻採樣點: 3輪候人數:130人等候時間:<U+2B24>19分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"130人","<U+2B24>19分鐘","B","培正中學"
"23","B16","塔石體育館A館塔石體育館A館口採樣點: 3鼻採樣點: 3輪候人數:24人等候時間:<U+2B24>4分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"24人","<U+2B24>4分鐘","B","塔石體育館A館"
"24","B17","澳門理工學院懷遠樓展覽廳澳門理工學院懷遠樓展覽廳口採樣點: 5鼻採樣點: 4輪候人數:160人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"160人","<U+2B24>18分鐘","B","澳門理工學院懷遠樓展覽廳"
"25","B18","澳門文化中心澳門文化中心口採樣點: 6鼻採樣點: 6輪候人數:230人等候時間:<U+2B24>19分鐘類別: (B) 一般市民採樣站（需預約）",6,6,"230人","<U+2B24>19分鐘","B","澳門文化中心"
"26","B19","利瑪竇中學利瑪竇中學口採樣點: 4鼻採樣點: 4輪候人數:140人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"140人","<U+2B24>18分鐘","B","利瑪竇中學"
"27","B20","聖若瑟教區中學第二校聖若瑟教區中學第二校口採樣點: 2鼻採樣點: 2輪候人數:23人等候時間:<U+2B24>6分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"23人","<U+2B24>6分鐘","B","聖若瑟教區中學第二校"
"28","B21","海星中學海星中學口採樣點: 3鼻採樣點: 2輪候人數:70人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"70人","<U+2B24>14分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 3鼻採樣點: 2輪候人數:214人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"214人","<U+2B24>43分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 2輪候人數:105人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"105人","<U+2B24>26分鐘","B","嘉模會堂"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 4鼻採樣點: 3輪候人數:300人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"300人","<U+2B24>43分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 4鼻採樣點: 3輪候人數:180人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"180人","<U+2B24>26分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 3鼻採樣點: 2輪候人數:29人等候時間:<U+2B24>6分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"29人","<U+2B24>6分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 3鼻採樣點: 2輪候人數:60人等候時間:<U+2B24>12分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"60人","<U+2B24>12分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 3鼻採樣點: 2輪候人數:110人等候時間:<U+2B24>22分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"110人","<U+2B24>22分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 12鼻採樣點: 5輪候人數:527人等候時間:<U+2B24>31分鐘類別: (B) 一般市民採樣站（需預約）",12,5,"527人","<U+2B24>31分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 5鼻採樣點: 2輪候人數:20人等候時間:<U+2B24>3分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"20人","<U+2B24>3分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 4鼻採樣點: 3輪候人數:10人等候時間:<U+2B24>1分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"10人","<U+2B24>1分鐘","B","科大體育館"
"39","C01","綜藝館綜藝館口採樣點: 1鼻採樣點: 1輪候人數:25人等候時間:<U+2B24>13分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"25人","<U+2B24>13分鐘","C","綜藝館"
"40","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 10鼻採樣點: 0輪候人數:8人等候時間:<U+2B24>1分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",10,0,"8人","<U+2B24>1分鐘","C","國檢（澳門）醫務中心"
"41","C03","南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:7人等候時間:<U+2B24>4分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"7人","<U+2B24>4分鐘","C","南粵橫琴口岸"
