"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"28","B21","海星中學海星中學口採樣點: 2鼻採樣點: 3輪候人數:215人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"215人","<U+2B24>43分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 3鼻採樣點: 2輪候人數:200人等候時間:<U+2B24>40分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"200人","<U+2B24>40分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"100人","<U+2B24>25分鐘","B","嘉模會堂"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 5鼻採樣點: 5輪候人數:105人等候時間:<U+2B24>11分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"105人","<U+2B24>11分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 2鼻採樣點: 3輪候人數:280人等候時間:<U+2B24>56分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"280人","<U+2B24>56分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 2鼻採樣點: 1輪候人數:75人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"75人","<U+2B24>25分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 4鼻採樣點: 1輪候人數:160人等候時間:<U+2B24>32分鐘類別: (B) 一般市民採樣站（需預約）",4,1,"160人","<U+2B24>32分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 2鼻採樣點: 1輪候人數:210人等候時間:<U+2B24>70分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"210人","<U+2B24>70分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 14鼻採樣點: 5輪候人數:780人等候時間:<U+2B24>41分鐘類別: (B) 一般市民採樣站（需預約）",14,5,"780人","<U+2B24>41分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 4鼻採樣點: 3輪候人數:530人等候時間:<U+2B24>76分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"530人","<U+2B24>76分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 3鼻採樣點: 2輪候人數:90人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"90人","<U+2B24>18分鐘","B","科大體育館"
"39","B32","綜藝館(免費)綜藝館(免費)口採樣點: 3鼻採樣點: 1輪候人數:170人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",3,1,"170人","<U+2B24>43分鐘","B","綜藝館(免費)"
"40","C01","綜藝館(自費)綜藝館(自費)口採樣點: 2鼻採樣點: 1輪候人數:100人等候時間:<U+2B24>33分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",2,1,"100人","<U+2B24>33分鐘","C","綜藝館(自費)"
"41","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 2鼻採樣點: 2輪候人數:42人等候時間:<U+2B24>11分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",2,2,"42人","<U+2B24>11分鐘","C","國檢（澳門）醫務中心"
"42","C03","南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:26人等候時間:<U+2B24>13分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"26人","<U+2B24>13分鐘","C","南粵橫琴口岸"
