"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"28","B21","海星中學海星中學口採樣點: 3鼻採樣點: 2輪候人數:63人等候時間:<U+2B24>13分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"63人","<U+2B24>13分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 3鼻採樣點: 2輪候人數:146人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"146人","<U+2B24>29分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 2輪候人數:140人等候時間:<U+2B24>35分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"140人","<U+2B24>35分鐘","B","嘉模會堂"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 2鼻採樣點: 2輪候人數:130人等候時間:<U+2B24>33分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"130人","<U+2B24>33分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 4鼻採樣點: 3輪候人數:180人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"180人","<U+2B24>26分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 3鼻採樣點: 2輪候人數:46人等候時間:<U+2B24>9分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"46人","<U+2B24>9分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 3鼻採樣點: 2輪候人數:75人等候時間:<U+2B24>15分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"75人","<U+2B24>15分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 3鼻採樣點: 2輪候人數:105人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"105人","<U+2B24>21分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 7鼻採樣點: 3輪候人數:513人等候時間:<U+2B24>51分鐘類別: (B) 一般市民採樣站（需預約）",7,3,"513人","<U+2B24>51分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 3鼻採樣點: 2輪候人數:80人等候時間:<U+2B24>16分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"80人","<U+2B24>16分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 3鼻採樣點: 2輪候人數:70人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"70人","<U+2B24>14分鐘","B","科大體育館"
"39","C01","綜藝館綜藝館口採樣點: 1鼻採樣點: 1輪候人數:13人等候時間:<U+2B24>7分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"13人","<U+2B24>7分鐘","C","綜藝館"
"40","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 1鼻採樣點: 1輪候人數:8人等候時間:<U+2B24>4分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"8人","<U+2B24>4分鐘","C","國檢（澳門）醫務中心"
"41","C03","南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:0人等候時間:<U+2B24>0分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"0人","<U+2B24>0分鐘","C","南粵橫琴口岸"
