"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"15","B08","鮑思高粵華小學鮑思高粵華小學口採樣點: 4鼻採樣點: 3輪候人數:282人等候時間:<U+2B24>40分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"282人","<U+2B24>40分鐘","B","鮑思高粵華小學"
"16","B09","望廈體育中心1樓望廈體育中心1樓口採樣點: 5鼻採樣點: 6輪候人數:150人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",5,6,"150人","<U+2B24>14分鐘","B","望廈體育中心1樓"
"17","B10","廣大中學 廣大中學 口採樣點: 3鼻採樣點: 1輪候人數:85人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",3,1,"85人","<U+2B24>21分鐘","B","廣大中學"
"18","B11","勞校中學附屬幼稚園勞校中學附屬幼稚園口採樣點: 2鼻採樣點: 2輪候人數:340人等候時間:<U+2B24>85分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"340人","<U+2B24>85分鐘","B","勞校中學附屬幼稚園"
"19","B12","婦女聯合總會綜合服務大樓婦女聯合總會綜合服務大樓口採樣點: 1鼻採樣點: 3輪候人數:70人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",1,3,"70人","<U+2B24>18分鐘","B","婦女聯合總會綜合服務大樓"
"20","B13","鏡湖醫院禮堂鏡湖醫院禮堂口採樣點: 4鼻採樣點: 4輪候人數:110人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"110人","<U+2B24>14分鐘","B","鏡湖醫院禮堂"
"21","B14","沙梨頭活動中心沙梨頭活動中心口採樣點: 3鼻採樣點: 3輪候人數:70人等候時間:<U+2B24>12分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"70人","<U+2B24>12分鐘","B","沙梨頭活動中心"
"22","B15","培正中學培正中學口採樣點: 3鼻採樣點: 2輪候人數:245人等候時間:<U+2B24>49分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"245人","<U+2B24>49分鐘","B","培正中學"
"23","B16","塔石體育館A館塔石體育館A館口採樣點: 4鼻採樣點: 2輪候人數:560人等候時間:<U+2B24>93分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"560人","<U+2B24>93分鐘","B","塔石體育館A館"
"24","B17","澳門理工學院懷遠樓展覽廳澳門理工學院懷遠樓展覽廳口採樣點: 5鼻採樣點: 4輪候人數:52人等候時間:<U+2B24>6分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"52人","<U+2B24>6分鐘","B","澳門理工學院懷遠樓展覽廳"
"25","B18","澳門文化中心澳門文化中心口採樣點: 6鼻採樣點: 2輪候人數:410人等候時間:<U+2B24>51分鐘類別: (B) 一般市民採樣站（需預約）",6,2,"410人","<U+2B24>51分鐘","B","澳門文化中心"
"26","B19","利瑪竇中學利瑪竇中學口採樣點: 3鼻採樣點: 2輪候人數:70人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"70人","<U+2B24>14分鐘","B","利瑪竇中學"
"27","B20","聖若瑟教區中學第二校聖若瑟教區中學第二校口採樣點: 2鼻採樣點: 1輪候人數:119人等候時間:<U+2B24>40分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"119人","<U+2B24>40分鐘","B","聖若瑟教區中學第二校"
"28","B21","海星中學海星中學口採樣點: 2鼻採樣點: 3輪候人數:106人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"106人","<U+2B24>21分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 5鼻採樣點: 2輪候人數:160人等候時間:<U+2B24>23分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"160人","<U+2B24>23分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 1輪候人數:110人等候時間:<U+2B24>37分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"110人","<U+2B24>37分鐘","B","嘉模會堂"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 3鼻採樣點: 3輪候人數:80人等候時間:<U+2B24>13分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"80人","<U+2B24>13分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 2鼻採樣點: 1輪候人數:230人等候時間:<U+2B24>77分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"230人","<U+2B24>77分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 2鼻採樣點: 1輪候人數:88人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"88人","<U+2B24>29分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 3鼻採樣點: 1輪候人數:135人等候時間:<U+2B24>34分鐘類別: (B) 一般市民採樣站（需預約）",3,1,"135人","<U+2B24>34分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 2鼻採樣點: 2輪候人數:260人等候時間:<U+2B24>65分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"260人","<U+2B24>65分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 12鼻採樣點: 4輪候人數:32人等候時間:<U+2B24>2分鐘類別: (B) 一般市民採樣站（需預約）",12,4,"32人","<U+2B24>2分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 4鼻採樣點: 4輪候人數:130人等候時間:<U+2B24>16分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"130人","<U+2B24>16分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 4鼻採樣點: 3輪候人數:145人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"145人","<U+2B24>21分鐘","B","科大體育館"
"39","B32","綜藝館(免費)綜藝館(免費)口採樣點: 1鼻採樣點: 1輪候人數:57人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",1,1,"57人","<U+2B24>29分鐘","B","綜藝館(免費)"
"40","C01","綜藝館(自費)綜藝館(自費)口採樣點: 1鼻採樣點: 1輪候人數:31人等候時間:<U+2B24>16分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"31人","<U+2B24>16分鐘","C","綜藝館(自費)"
"41","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 2鼻採樣點: 2輪候人數:42人等候時間:<U+2B24>11分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",2,2,"42人","<U+2B24>11分鐘","C","國檢（澳門）醫務中心"
"42","C03","南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:6人等候時間:<U+2B24>3分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"6人","<U+2B24>3分鐘","C","南粵橫琴口岸"
